Name,Product ID,Product Structure,Default Unit,Description,List Price,Parent,Product Type,Purchase Name,Status,Unit Group,Taxable,Decimals Supported
Travel Brew 100,TRBRC,Product,Primary Unit,,,CONSUMER COFFEE MAKERS,Sales Inventory,Travel Brew 100,Under Revision,Default Unit,Yes,2
AutoDrip,AD,Product,Primary Unit,,,CONSUMER COFFEE MAKERS,Sales Inventory,AutoDrip,Under Revision,Default Unit,Yes,2
Precision Brew 100,PBRC,Product,Primary Unit,,1699,CONSUMER COFFEE MAKERS,Sales Inventory,Precision Brew 100,Under Revision,Default Unit,Yes,2
Barista Home,BAHMC,Product,Primary Unit,,,CONSUMER ESPRESSO,Sales Inventory,Barista Home,Active,Default Unit,Yes,2
Barista Lite,BALTC,Product,Primary Unit,,,CONSUMER ESPRESSO,Sales Inventory,Barista Lite,Active,Default Unit,Yes,2
Crema Café,CRCAC,Product,Primary Unit,,,CONSUMER ESPRESSO,Sales Inventory,Crema Café,Active,Default Unit,Yes,2
Crema Café XL,CRCAXLC,Product,Primary Unit,,,CONSUMER ESPRESSO,Sales Inventory,Crema Café XL,Active,Default Unit,Yes,2
Crema Quatro,CRQTC,Product,Primary Unit,,,CONSUMER ESPRESSO,Sales Inventory,Crema Quatro,Active,Default Unit,Yes,2
Accu Scale,ACSC-SP,Product,Primary Unit,,,DRINKWARE,Sales Inventory,Accu Scale,Active,Default Unit,Yes,2
Cleaning Kit,DXDCTR,Product,Primary Unit,,,DRINKWARE,Sales Inventory,Cleaning Kit,Active,Default Unit,Yes,2
Travel Mug,TRMU-SP,Product,Primary Unit,,,DRINKWARE,Sales Inventory,Travel Mug,Active,Default Unit,Yes,2
Travel Mug XL,TRMUXL-SP,Product,Primary Unit,,,DRINKWARE,Sales Inventory,Travel Mug XL,Active,Default Unit,Yes,2
Brew Filters,BRFI-SP,Product,Primary Unit,,,DRINKWARE,Sales Inventory,Brew Filters,Active,Default Unit,Yes,2
Carafe Pro,CAPR-SP,Product,Primary Unit,,,DRINKWARE,Sales Inventory,Carafe Pro,Active,Default Unit,Yes,2
CP Cappuccino Cup with Saucer,CPCASA-SP,Product,Primary Unit,,,DRINKWARE,Sales Inventory,CP Cappuccino Cup with Saucer,Active,Default Unit,Yes,2
CP Latte Cup with Saucer,CPLASA-SP,Product,Primary Unit,,,DRINKWARE,Sales Inventory,CP Latte Cup with Saucer,Active,Default Unit,Yes,2
Cupping Glass,CUGL-SP,Product,Primary Unit,,,DRINKWARE,Sales Inventory,Cupping Glass,Active,Default Unit,Yes,2
Deluxe Decanter,DEDE-SP,Product,Primary Unit,,,DRINKWARE,Sales Inventory,Deluxe Decanter,Active,Default Unit,Yes,2
Drink Spoon,DRSP-SP,Product,Primary Unit,,,DRINKWARE,Sales Inventory,Drink Spoon,Active,Default Unit,Yes,2
Frothing Pitcher,FRPI-SP,Product,Primary Unit,,,DRINKWARE,Sales Inventory,Frothing Pitcher,Active,Default Unit,Yes,2
Quick Kettle,QUKE-SP,Product,Primary Unit,,,DRINKWARE,Sales Inventory,Quick Kettle,Active,Default Unit,Yes,2
Stainless Steel Tamper,STSTTA-SP,Product,Primary Unit,,,DRINKWARE,Sales Inventory,Stainless Steel Tamper,Active,Default Unit,Yes,2
Storage Canister,SMW300,Product,Primary Unit,,,DRINKWARE,Sales Inventory,Storage Canister,Active,Default Unit,Yes,2
Diner Mug,DIMU-SP,Product,Primary Unit,,,DRINKWARE,Sales Inventory,Diner Mug,Active,Default Unit,Yes,2
Water line,CAWATLN,Product,Primary Unit,,,SERVICES,Sales Inventory,Water line,Active,Default Unit,Yes,2
Capacity IoT sensor,CACAPIOTSENS,Product,Primary Unit,,,SERVICES,Sales Inventory,Capacity IoT sensor,Active,Default Unit,Yes,2
Descaling Solution,CADESCSOL,Product,Primary Unit,,,SERVICES,Sales Inventory,Descaling Solution,Active,Default Unit,Yes,2
1-Year Espresso Blend Coffee Subscription,1YRESBL,Product,Primary Unit,,,SUBSCRIPTION-CM,Sales Inventory,1-Year Espresso Blend Coffee Subscription,Active,Default Unit,Yes,2
1-Year Fair Trade Coffee Subscription,1YRFATR,Product,Primary Unit,,,SUBSCRIPTION-CM,Sales Inventory,1-Year Fair Trade Coffee Subscription,Active,Default Unit,Yes,2
1-Year Organic Office Coffee Subscription,1YROROF,Product,Primary Unit,,,SUBSCRIPTION-CM,Sales Inventory,1-Year Organic Office Coffee Subscription,Active,Default Unit,Yes,2
2-Year Espresso Blend Subscription,2YRESBL,Product,Primary Unit,,,SUBSCRIPTION-CM,Sales Inventory,2-Year Espresso Blend Subscription,Active,Default Unit,Yes,2
2-Year Fair Trade Coffee Subscription,2YRFATR,Product,Primary Unit,,,SUBSCRIPTION-CM,Sales Inventory,2-Year Fair Trade Coffee Subscription,Active,Default Unit,Yes,2
2-Year Organic Office Coffee Subscription,2YROROF,Product,Primary Unit,,,SUBSCRIPTION-CM,Sales Inventory,2-Year Organic Office Coffee Subscription,Active,Default Unit,Yes,2
6-Month Fair Trade Coffee Subscription,6MOFATR,Product,Primary Unit,,,SUBSCRIPTION-CM,Sales Inventory,6-Month Fair Trade Coffee Subscription,Active,Default Unit,Yes,2
