Created On,Topic,Owner,Potential Customer,Status,Status Reason,Est. revenue,Est. close date,Actual Revenue,Actual Close date,Probability,Rating,Sales Stage,Forecast category,Customer Need,Proposed Solution,Source Campaign,Purchase Process,Purchase Timeframe,Currency,Contact,Price List,Revenue
07/12/21,A. Datum Corporation | Crema Quatro,Sebastian Wright,Adatum Corporation,Lost,Canceled,7700,07/30/21,0,07/30/21,45,Cold,Develop,Lost,CONSUMER ESPRESSO,Crema Quatro,Perfect Brew Coffee  Webinar,Unknown,Immediate,US Dollar,Kevin Martin,Contoso Coffee Price List,User Provided
12/22/22,Lamna Healthcare Company | Smart Grind Travel,Sebastian Wright,Adatum Corporation,Lost,Out-Sold,2400,01/03/23,0,01/03/23,55,Warm,Close,Lost,CONSUMER COFFEE GRINDERS,Smart Grind Travel,Intelligent Coffee Machine Showcase,Unknown,Immediate,US Dollar,Tracy Harding,Contoso Coffee Price List,User Provided
03/27/22,Fabrikam Inc. | Airpot Lite,Sebastian Wright,Adatum Corporation,Won,Won,4000,04/10/22,4000,04/10/22,90,Hot,Close,Won,COMMERCIAL COFFEE MAKERS,Airpot Lite,Coffee Machine Excellence,Individual,Immediate,US Dollar,Eva Corets,Contoso Coffee Price List,User Provided
04/11/23,A. Datum Corporation | Diner Mug,Sebastian Wright,Adatum Corporation,Lost,Canceled,250,07/10/23,0,07/10/23,35,Cold,Qualify,Lost,DRINKWARE,Diner Mug,,Individual,Next Quarter,US Dollar,Kevin Martin,Contoso Coffee Price List,User Provided
09/30/23,A. Datum Corporation | Travel Brew 100,Sebastian Wright,Adventure Works Cycles,Lost,Canceled,6850,12/06/23,0,12/06/23,30,Cold,Develop,,CONSUMER COFFEE MAKERS,Travel Brew 100,Loyalty Customer Promotion,Unknown,This Quarter,US Dollar,Kevin Martin,Contoso Coffee Price List,User Provided
03/10/23,Lamna Healthcare Company | Caf̩ BG-1,Sebastian Wright,Adventure Works Cycles,Won,Won,29750,04/19/23,29750,04/19/23,65,Warm,Close,Won,COMMERCIAL COFFEE GRINDERS,Caf̩ BG-1,Coffee Trade Fair,Unknown,Immediate,US Dollar,Tracy Harding,Contoso Coffee Price List,User Provided
03/31/23,Adventure Works Cycles | Airpot Duo,Sebastian Wright,Adventure Works Cycles,Lost,Canceled,1250,05/31/23,0,05/31/23,30,Cold,Close,,COMMERCIAL COFFEE MAKERS,Airpot Duo,Perfect Brew Coffee  Webinar,Unknown,This Quarter,US Dollar,Parsifal Troker,Contoso Coffee Price List,User Provided
06/06/23,Adventure Works Cycles | Airpot Duo,Sebastian Wright,Adventure Works Cycles,Lost,Canceled,3250,09/07/23,0,09/07/23,40,Cold,Close,Lost,COMMERCIAL COFFEE MAKERS,Airpot Duo,,Individual,Next Quarter,US Dollar,Parsifal Troker,Contoso Coffee Price List,User Provided
09/27/22,Adventure Works Cycles | Barista Express,Sebastian Wright,Adventure Works Cycles,Lost,Canceled,151300,05/26/23,0,05/26/23,10,Cold,Develop,,COMMERCIAL ESPRESSO,Barista Express,Barista Monthly Digest,Unknown,Next Quarter,US Dollar,Parsifal Troker,Contoso Coffee Price List,User Provided
12/21/23,Adventure Works Cycles | Brew Filters,Sebastian Wright,Adventure Works Cycles,Lost,Canceled,200,03/20/24,0,03/20/24,50,Cold,Qualify,,DRINKWARE,Brew Filters,,Individual,Next Quarter,US Dollar,Parsifal Troker,Contoso Coffee Price List,User Provided
11/23/23,Adventure Works Cycles | Caf̩ A-100 Automatic,Sebastian Wright,Adventure Works Cycles,Lost,Canceled,190400,08/29/24,0,08/29/24,50,Cold,Develop,,COMMERCIAL ESPRESSO,Caf̩ A-100 Automatic,Coffee Machine Excellence,Individual,Next Quarter,US Dollar,Parsifal Troker,Contoso Coffee Price List,User Provided
09/15/24,Fabrikam Inc. | Stainless Steel Tamper,Sebastian Wright,Adventure Works Cycles,Won,Won,850,11/15/24,850,11/15/24,75,Warm,Close,Won,DRINKWARE,Stainless Steel Tamper,,Individual,This Quarter,US Dollar,Eva Corets,Contoso Coffee Price List,User Provided
10/03/24,Adventure Works Cycles | Caf̩ Duo,Sebastian Wright,Adventure Works Cycles,Lost,Canceled,26300,01/27/25,0,01/27/25,50,Cold,Develop,Lost,COMMERCIAL ESPRESSO,Caf̩ Duo,Coffee Machine Excellence,Individual,Next Quarter,US Dollar,Parsifal Troker,Contoso Coffee Price List,User Provided
09/25/23,Margie's Travel | 2-Year Fair Trade Coffee Subscription,Sebastian Wright,Adventure Works Cycles,Won,Won,36300,11/10/23,36300,11/10/23,90,Hot,Close,Won,SUBSCRIPTION-CM,2-Year Fair Trade Coffee Subscription,,Individual,Immediate,US Dollar,Jan Stevens,Contoso Coffee Price List,User Provided
12/27/23,Adventure Works Cycles | Caf̩ PG-1,Sebastian Wright,Adventure Works Cycles,Lost,Canceled,35900,05/01/24,0,05/01/24,10,Cold,Develop,,COMMERCIAL COFFEE GRINDERS,Caf̩ PG-1,Perfect Brew Coffee  Webinar,Unknown,Next Quarter,US Dollar,Parsifal Troker,Contoso Coffee Price List,User Provided
05/10/24,A. Datum Corporation | 2-Year Fair Trade Coffee Subscription,Sebastian Wright,Adventure Works Cycles,Won,Won,39650,06/29/24,39650,06/29/24,65,Warm,Close,Won,SUBSCRIPTION-CM,2-Year Fair Trade Coffee Subscription,Loyalty Customer Promotion,Committee,Immediate,US Dollar,Kevin Martin,Contoso Coffee Price List,User Provided
10/17/21,Trey Research | Frothing Pitcher,Sebastian Wright,Adventure Works Cycles,Won,Won,150,10/27/21,150,10/27/21,95,Hot,Close,Won,DRINKWARE,Frothing Pitcher,,Individual,Immediate,US Dollar,Alex Baker,Contoso Coffee Price List,User Provided
05/14/21,Proseware Inc. | Accu Scale,Sebastian Wright,Adventure Works Cycles,Won,Won,450,05/24/21,450,05/24/21,90,Hot,Close,Won,DRINKWARE,Accu Scale,,Individual,Immediate,US Dollar,Petr Kar,Contoso Coffee Price List,User Provided
03/22/25,Contoso Suites | Frothing Pitcher,Sebastian Wright,Adventure Works Cycles,Open,In Progress,100,04/01/25,0,,100,Hot,Propose,Committed,DRINKWARE,Frothing Pitcher,New Product Release,Unknown,Immediate,US Dollar,Lucy Lambert,Contoso Coffee Price List,User Provided
07/13/24,Trey Research | Barista Express,Sebastian Wright,Adventure Works Cycles,Won,Won,106700,12/27/24,106700,12/27/24,75,Warm,Close,Won,COMMERCIAL ESPRESSO,Barista Express,,Individual,This Quarter,US Dollar,Alex Baker,Contoso Coffee Price List,User Provided
04/05/22,Fabrikam Inc. | CP Latte Cup with Saucer,Sebastian Wright,Adventure Works Cycles,Won,Won,100,04/15/22,100,04/15/22,60,Warm,Close,Won,DRINKWARE,CP Latte Cup with Saucer,New Product Release,Unknown,Immediate,US Dollar,Eva Corets,Contoso Coffee Price List,User Provided
05/24/23,Best For You Organics Company | 6-Month Fair Trade Coffee Subscription,Sebastian Wright,Adventure Works Cycles,Won,Won,22900,06/26/23,22900,06/26/23,90,Hot,Close,Won,SUBSCRIPTION-CM,6-Month Fair Trade Coffee Subscription,,Individual,Immediate,US Dollar,Logan Patterson,Contoso Coffee Price List,User Provided
03/10/24,Alpine Ski House | Airpot,Sebastian Wright,Adventure Works Cycles,Lost,Canceled,950,05/10/24,0,05/10/24,30,Cold,Qualify,,COMMERCIAL COFFEE MAKERS,Airpot,New Product Release,Unknown,This Quarter,US Dollar,Cacilia Viera,Contoso Coffee Price List,User Provided
05/08/23,Trey Research | Cleaning Kit,Sebastian Wright,Alpine Ski House,Lost,Out-Sold,400,05/18/23,0,05/18/23,60,Warm,Close,Lost,DRINKWARE,Cleaning Kit,Intelligent Coffee Machine Showcase,Unknown,Immediate,US Dollar,Alex Baker,Contoso Coffee Price List,User Provided
01/02/24,Alpine Ski House | Airpot Duo,Sebastian Wright,Alpine Ski House,Lost,Canceled,4400,01/16/24,0,01/16/24,30,Cold,Close,,COMMERCIAL COFFEE MAKERS,Airpot Duo,Customer Care Campaign,Unknown,Immediate,US Dollar,Cacilia Viera,Contoso Coffee Price List,User Provided
01/07/25,Humongous Insurance | Frothing Pitcher,Sebastian Wright,Alpine Ski House,Won,Won,300,01/17/25,300,01/17/25,60,Warm,Close,Won,DRINKWARE,Frothing Pitcher,New Product Release,Unknown,Immediate,US Dollar,Naoki Sato,Contoso Coffee Price List,User Provided
10/02/23,School of Fine Art | Barista Express,Sebastian Wright,Alpine Ski House,Won,Won,70600,02/10/24,70600,02/10/24,65,Warm,Close,Won,COMMERCIAL ESPRESSO,Barista Express,Coffee Machine Excellence,Individual,This Quarter,US Dollar,Rory Flowers,Contoso Coffee Price List,User Provided
03/14/25,Relecloud | Brew Filters,Sebastian Wright,Alpine Ski House,Open,In Progress,350,05/13/25,0,,60,Warm,Develop,Best Case,DRINKWARE,Brew Filters,New Product Release,Unknown,This Quarter,US Dollar,Orestas Schafer,Contoso Coffee Price List,User Provided
01/21/23,Alpine Ski House | Caf̩ A-200 Automatic,Sebastian Wright,Alpine Ski House,Lost,Canceled,289400,02/04/24,0,02/04/24,35,Cold,Close,,COMMERCIAL ESPRESSO,Caf̩ A-200 Automatic,Coffee Machine Excellence,Individual,Next Quarter,US Dollar,Cacilia Viera,Contoso Coffee Price List,User Provided
12/13/23,Alpine Ski House | Caf̩ BG-1 Pro,Sebastian Wright,Alpine Ski House,Lost,Canceled,38000,03/20/24,0,03/20/24,20,Cold,Develop,,COMMERCIAL COFFEE GRINDERS,Caf̩ BG-1 Pro,Perfect Brew Coffee  Webinar,Unknown,This Quarter,US Dollar,Cacilia Viera,Contoso Coffee Price List,User Provided
06/18/21,Bellows College | Diner Mug,Sebastian Wright,Alpine Ski House,Won,Won,200,08/17/21,200,08/17/21,75,Warm,Close,Won,DRINKWARE,Diner Mug,,Individual,This Quarter,US Dollar,Lina Nevland,Contoso Coffee Price List,User Provided
10/07/21,Contoso Suites | Caf̩ A-200 Automatic,Sebastian Wright,Alpine Ski House,Won,Won,151950,03/18/22,151950,03/18/22,80,Hot,Close,Won,COMMERCIAL ESPRESSO,Caf̩ A-200 Automatic,,Individual,Immediate,US Dollar,Lucy Lambert,Contoso Coffee Price List,User Provided
03/26/25,Graphic Design Institute | Frothing Pitcher,Sebastian Wright,Alpine Ski House,Open,In Progress,250,05/25/25,0,,15,Cold,Propose,Pipeline,DRINKWARE,Frothing Pitcher,Customer Follow-up,Unknown,This Quarter,US Dollar,Aurora Badillo,Contoso Coffee Price List,User Provided
09/25/22,Alpine Ski House | Caf̩ Corto,Sebastian Wright,Alpine Ski House,Lost,Canceled,177450,03/31/23,0,03/31/23,40,Cold,Develop,,COMMERCIAL ESPRESSO,Caf̩ Corto,Loyalty Customer Promotion,Unknown,Immediate,US Dollar,Cacilia Viera,Contoso Coffee Price List,User Provided
06/26/24,Trey Research | CP Cappuccino Cup with Saucer,Sebastian Wright,Alpine Ski House,Won,Won,100,08/25/24,100,08/25/24,80,Hot,Close,Won,DRINKWARE,CP Cappuccino Cup with Saucer,Coffee Machine Excellence,Individual,This Quarter,US Dollar,Alex Baker,Contoso Coffee Price List,User Provided
06/11/21,Alpine Ski House | Caf̩ S-100 Semi-Automatic,Sebastian Wright,Alpine Ski House,Lost,Canceled,455450,12/08/22,0,12/08/22,10,Cold,Close,,COMMERCIAL ESPRESSO,Caf̩ S-100 Semi-Automatic,Customer Follow-up,Unknown,Next Quarter,US Dollar,Cacilia Viera,Contoso Coffee Price List,User Provided
12/06/22,Contoso Suites | Accu Scale,Sebastian Wright,Alpine Ski House,Won,Won,900,02/05/23,900,02/05/23,65,Warm,Close,Won,DRINKWARE,Accu Scale,,Individual,This Quarter,US Dollar,Lucy Lambert,Contoso Coffee Price List,User Provided
12/27/23,Fabrikam Inc. | Diner Mug,Sebastian Wright,Alpine Ski House,Lost,Out-Sold,50,02/25/24,0,02/25/24,55,Warm,Close,Lost,DRINKWARE,Diner Mug,Loyalty Customer Promotion,Committee,This Quarter,US Dollar,Eva Corets,Contoso Coffee Price List,User Provided
05/07/22,Trey Research | Smart Grind Travel,Sebastian Wright,Alpine Ski House,Lost,Out-Sold,3900,05/21/22,0,05/21/22,60,Warm,Close,Lost,CONSUMER COFFEE GRINDERS,Smart Grind Travel,Perfect Brew Coffee  Webinar,Unknown,Immediate,US Dollar,Alex Baker,Contoso Coffee Price List,User Provided
12/26/24,Wide World Importers | AutoDrip,Sebastian Wright,Alpine Ski House,Won,Won,3800,01/09/25,3800,01/09/25,90,Hot,Close,Won,CONSUMER COFFEE MAKERS,AutoDrip,Coffee Machine Excellence,Individual,Immediate,US Dollar,Rodrigo Carrera,Contoso Coffee Price List,User Provided
05/12/23,Alpine Ski House | Crema Caf̩ XL,Sebastian Wright,Alpine Ski House,Lost,Canceled,19050,08/29/23,0,08/29/23,10,Cold,Develop,,CONSUMER ESPRESSO,Crema Caf̩ XL,Coffee Innovation Webinar,Unknown,Next Quarter,US Dollar,Cacilia Viera,Contoso Coffee Price List,User Provided
07/06/21,Alpine Ski House | Deluxe Decanter,Sebastian Wright,Alpine Ski House,Lost,Canceled,200,07/16/21,0,07/16/21,40,Cold,Qualify,Lost,DRINKWARE,Deluxe Decanter,Coffee Trade Fair,Unknown,Immediate,US Dollar,Cacilia Viera,Contoso Coffee Price List,User Provided
05/03/21,Margie's Travel | AutoDrip,Sebastian Wright,Alpine Ski House,Won,Won,3850,05/17/21,3850,05/17/21,90,Hot,Close,Won,CONSUMER COFFEE MAKERS,AutoDrip,,Individual,Immediate,US Dollar,Jan Stevens,Contoso Coffee Price List,User Provided
04/06/24,Alpine Ski House | Diner Mug,Sebastian Wright,Alpine Ski House,Lost,Canceled,50,04/16/24,0,04/16/24,45,Cold,Qualify,,DRINKWARE,Diner Mug,Loyalty Customer Promotion,Unknown,Immediate,US Dollar,Cacilia Viera,Contoso Coffee Price List,User Provided
05/24/21,Fabrikam Inc. | Caf̩ Grande,Sebastian Wright,Alpine Ski House,Won,Won,292350,03/22/22,292350,03/22/22,95,Hot,Close,Won,COMMERCIAL ESPRESSO,Caf̩ Grande,,Individual,Immediate,US Dollar,Eva Corets,Contoso Coffee Price List,User Provided
11/10/23,Alpine Ski House | Diner Mug,Sebastian Wright,Alpine Ski House,Lost,Canceled,150,02/08/24,0,02/08/24,10,Cold,Qualify,,DRINKWARE,Diner Mug,Coffee Innovation Webinar,Unknown,Next Quarter,US Dollar,Cacilia Viera,Contoso Coffee Price List,User Provided
04/02/24,Alpine Ski House | Precision Grind Home,Sebastian Wright,Alpine Ski House,Lost,Canceled,1450,06/02/24,0,06/02/24,25,Cold,Close,,CONSUMER COFFEE GRINDERS,Precision Grind Home,Loyalty Customer Promotion,Unknown,This Quarter,US Dollar,Cacilia Viera,Contoso Coffee Price List,User Provided
07/26/24,Alpine Ski House | Precision Grind Home,Sebastian Wright,Alpine Ski House,Lost,Canceled,4650,09/29/24,0,09/29/24,25,Cold,Close,,CONSUMER COFFEE GRINDERS,Precision Grind Home,Barista Monthly Digest,Unknown,This Quarter,US Dollar,Cacilia Viera,Contoso Coffee Price List,User Provided
08/21/23,Alpine Ski House | Precision Grind Home,Sebastian Wright,Alpine Ski House,Lost,Canceled,5100,10/25/23,0,10/25/23,25,Cold,Close,,CONSUMER COFFEE GRINDERS,Precision Grind Home,Perfect Brew Coffee  Webinar,Unknown,This Quarter,US Dollar,Cacilia Viera,Contoso Coffee Price List,User Provided
02/04/23,Margie's Travel | AutoDrip,Sebastian Wright,Alpine Ski House,Won,Won,1900,02/16/23,1900,02/16/23,90,Hot,Close,Won,CONSUMER COFFEE MAKERS,AutoDrip,Coffee Machine Excellence,Individual,Immediate,US Dollar,Jan Stevens,Contoso Coffee Price List,User Provided
07/20/23,Trey Research | 2-Year Organic Office Coffee Subscription,Sebastian Wright,Alpine Ski House,Won,Won,41350,09/09/23,41350,09/09/23,100,Hot,Close,Won,SUBSCRIPTION-CM,2-Year Organic Office Coffee Subscription,,Individual,Immediate,US Dollar,Alex Baker,Contoso Coffee Price List,User Provided
01/29/23,Alpine Ski House | Precision Grind Travel,Sebastian Wright,Bellows College,Lost,Canceled,1150,02/09/23,0,02/09/23,50,Cold,Close,,CONSUMER COFFEE GRINDERS,Precision Grind Travel,Global Coffee Expo,Unknown,Immediate,US Dollar,Cacilia Viera,Contoso Coffee Price List,User Provided
03/10/22,Trey Research | Carafe Pro,Sebastian Wright,Bellows College,Won,Won,1150,05/10/22,1150,05/10/22,80,Hot,Close,Won,DRINKWARE,Carafe Pro,,Individual,This Quarter,US Dollar,Alex Baker,Contoso Coffee Price List,User Provided
07/12/21,Alpine Ski House | Stainless Steel Tamper,Sebastian Wright,Bellows College,Lost,Canceled,100,07/22/21,0,07/22/21,50,Cold,Qualify,,DRINKWARE,Stainless Steel Tamper,Intelligent Coffee Machine Showcase,Unknown,Immediate,US Dollar,Cacilia Viera,Contoso Coffee Price List,User Provided
04/28/24,First Up Consultants | Storage Canister,Sebastian Wright,Bellows College,Lost,Out-Sold,850,06/28/24,0,06/28/24,55,Warm,Close,Lost,DRINKWARE,Storage Canister,Loyalty Customer Promotion,Committee,This Quarter,US Dollar,Armin Woodward,Contoso Coffee Price List,User Provided
05/28/22,Alpine Ski House | Storage Canister,Sebastian Wright,Bellows College,Lost,Canceled,800,06/08/22,0,06/08/22,50,Cold,Qualify,,DRINKWARE,Storage Canister,Intelligent Coffee Machine Showcase,Unknown,Immediate,US Dollar,Cacilia Viera,Contoso Coffee Price List,User Provided
04/03/21,Bellows College | 2-Year Espresso Blend Subscription,Sebastian Wright,Bellows College,Lost,Canceled,56150,12/15/21,0,12/15/21,30,Cold,Develop,,SUBSCRIPTION-CM,2-Year Espresso Blend Subscription,,Individual,This Year,US Dollar,Lina Nevland,Contoso Coffee Price List,User Provided
12/13/21,Bellows College | Airpot XL,Sebastian Wright,Bellows College,Lost,Canceled,6050,02/17/22,0,02/17/22,50,Cold,Close,,COMMERCIAL COFFEE MAKERS,Airpot XL,Loyalty Customer Promotion,Committee,This Quarter,US Dollar,Lina Nevland,Contoso Coffee Price List,User Provided
03/01/25,Contoso Ltd. | Caf̩ BG-1 Pro,Sebastian Wright,Bellows College,Open,In Progress,152400,08/10/25,0,,5,Cold,Qualify,Omitted,COMMERCIAL COFFEE GRINDERS,Caf̩ BG-1 Pro,,Individual,Immediate,US Dollar,Daisy Pope,Contoso Coffee Price List,User Provided
08/18/21,Bellows College | Caf̩ Corto,Sebastian Wright,Bellows College,Lost,Canceled,49350,12/05/21,0,12/05/21,50,Cold,Develop,Lost,COMMERCIAL ESPRESSO,Caf̩ Corto,Loyalty Customer Promotion,Committee,This Quarter,US Dollar,Lina Nevland,Contoso Coffee Price List,User Provided
11/08/22,Lamna Healthcare Company | Diner Mug,Sebastian Wright,Bellows College,Won,Won,300,01/07/23,300,01/07/23,65,Warm,Close,Won,DRINKWARE,Diner Mug,,Individual,This Quarter,US Dollar,Tracy Harding,Contoso Coffee Price List,User Provided
03/04/23,Fabrikam Inc. | CP Cappuccino Cup with Saucer,Sebastian Wright,Bellows College,Lost,Out-Sold,100,03/14/23,0,03/14/23,60,Warm,Close,Lost,DRINKWARE,CP Cappuccino Cup with Saucer,Intelligent Coffee Machine Showcase,Unknown,Immediate,US Dollar,Eva Corets,Contoso Coffee Price List,User Provided
02/24/24,Bellows College | Capacity IoT sensor,Sebastian Wright,Bellows College,Lost,Canceled,1150,09/12/24,0,09/12/24,25,Cold,Close,,SERVICES,Capacity IoT sensor,,Individual,This Year,US Dollar,Lina Nevland,Contoso Coffee Price List,User Provided
01/24/23,Best For You Organics Company | Caf̩ A-100 Automatic,Sebastian Wright,Bellows College,Won,Won,99350,07/02/23,99350,07/02/23,65,Warm,Close,Won,COMMERCIAL ESPRESSO,Caf̩ A-100 Automatic,,Individual,This Quarter,US Dollar,Logan Patterson,Contoso Coffee Price List,User Provided
11/28/21,Bellows College | CP Latte Cup with Saucer,Sebastian Wright,Bellows College,Lost,Canceled,100,01/27/22,0,01/27/22,45,Cold,Qualify,,DRINKWARE,CP Latte Cup with Saucer,New Product Release,Unknown,This Quarter,US Dollar,Lina Nevland,Contoso Coffee Price List,User Provided
12/21/21,Bellows College | Cupping Glass,Sebastian Wright,Bellows College,Lost,Canceled,50,02/19/22,0,02/19/22,30,Cold,Qualify,Lost,DRINKWARE,Cupping Glass,Coffee Innovation Webinar,Unknown,This Quarter,US Dollar,Lina Nevland,Contoso Coffee Price List,User Provided
05/12/24,Bellows College | Drink Spoon,Sebastian Wright,Best For You Organics Company,Lost,Canceled,100,11/28/24,0,11/28/24,25,Cold,Qualify,Lost,DRINKWARE,Drink Spoon,,Individual,This Year,US Dollar,Lina Nevland,Contoso Coffee Price List,User Provided
03/14/23,Bellows College | Precision Grind Home,Sebastian Wright,Best For You Organics Company,Lost,Canceled,650,10/01/23,0,10/01/23,5,Cold,Qualify,,CONSUMER COFFEE GRINDERS,Precision Grind Home,Barista Monthly Digest,Unknown,This Year,US Dollar,Lina Nevland,Contoso Coffee Price List,User Provided
12/26/21,Bellows College | Quick Kettle,Sebastian Wright,Best For You Organics Company,Lost,Canceled,150,07/14/22,0,07/14/22,5,Cold,Qualify,,DRINKWARE,Quick Kettle,Loyalty Customer Promotion,Unknown,This Year,US Dollar,Lina Nevland,Contoso Coffee Price List,User Provided
03/20/23,Fabrikam Residences | Barista Lite,Sebastian Wright,Best For You Organics Company,Won,Won,4750,05/24/23,4750,05/24/23,65,Warm,Close,Won,CONSUMER ESPRESSO,Barista Lite,,Individual,This Quarter,US Dollar,Rachel Michael,Contoso Coffee Price List,User Provided
09/21/23,Best For You Organics Company | 2-Year Organic Office Coffee Subscription,Sebastian Wright,Best For You Organics Company,Lost,Canceled,76900,03/06/24,0,03/06/24,50,Cold,Develop,,SUBSCRIPTION-CM,2-Year Organic Office Coffee Subscription,Coffee Machine Excellence,Individual,Next Quarter,US Dollar,Logan Patterson,Contoso Coffee Price List,User Provided
05/16/22,Best For You Organics Company | Airpot,Sebastian Wright,Best For You Organics Company,Lost,Canceled,10150,06/05/22,0,06/05/22,50,Cold,Develop,,COMMERCIAL COFFEE MAKERS,Airpot,New Product Release,Unknown,Immediate,US Dollar,Logan Patterson,Contoso Coffee Price List,User Provided
09/13/22,Fabrikam Inc. | CP Latte Cup with Saucer,Sebastian Wright,Best For You Organics Company,Lost,Out-Sold,50,11/12/22,0,11/12/22,55,Warm,Close,Lost,DRINKWARE,CP Latte Cup with Saucer,Loyalty Customer Promotion,Committee,This Quarter,US Dollar,Eva Corets,Contoso Coffee Price List,User Provided
09/24/22,Fabrikam Inc. | 1-Year Fair Trade Coffee Subscription,Sebastian Wright,Best For You Organics Company,Won,Won,11100,10/15/22,11100,10/15/22,100,Hot,Close,Won,SUBSCRIPTION-CM,1-Year Fair Trade Coffee Subscription,Coffee Machine Excellence,Individual,Immediate,US Dollar,Eva Corets,Contoso Coffee Price List,User Provided
03/24/24,Best For You Organics Company | Caf̩ PG-1,Sebastian Wright,Best For You Organics Company,Lost,Canceled,5200,05/28/24,0,05/28/24,25,Cold,Close,,COMMERCIAL COFFEE GRINDERS,Caf̩ PG-1,New Product Release,Unknown,This Quarter,US Dollar,Logan Patterson,Contoso Coffee Price List,User Provided
09/09/21,Contoso Suites | Diner Mug,Sebastian Wright,Best For You Organics Company,Won,Won,150,09/19/21,150,09/19/21,85,Hot,Close,Won,DRINKWARE,Diner Mug,,Individual,Immediate,US Dollar,Lucy Lambert,Contoso Coffee Price List,User Provided
05/02/21,Best For You Organics Company | Carafe Pro,Sebastian Wright,Best For You Organics Company,Lost,Canceled,550,08/01/21,0,08/01/21,35,Cold,Qualify,Lost,DRINKWARE,Carafe Pro,,Individual,Next Quarter,US Dollar,Logan Patterson,Contoso Coffee Price List,User Provided
12/04/24,Best For You Organics Company | Capacity IoT sensor,Sebastian Wright,Best For You Organics Company,Lost,Out-Sold,3250,12/17/24,0,12/17/24,60,Warm,Close,Lost,SERVICES,Capacity IoT sensor,Loyalty Customer Promotion,Committee,Immediate,US Dollar,Logan Patterson,Contoso Coffee Price List,User Provided
02/19/22,Fabrikam Residences | Caf̩ A-100 Automatic,Sebastian Wright,Best For You Organics Company,Won,Won,215100,11/21/22,215100,11/21/22,65,Warm,Close,Won,COMMERCIAL ESPRESSO,Caf̩ A-100 Automatic,,Individual,This Quarter,US Dollar,Rachel Michael,Contoso Coffee Price List,User Provided
